"ID","Question 1 (KH)","Question 2 (KH)","Answer (KH)","Correct (KH)","Level","Question 1 (EN)","Question 2 (EN)","Answer (EN)","Correct (EN)"
91,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","83  ___  80","<, >, =",">",4,"Which symbol makes this statement true?","83  ___  80","<, >, =",">"
92,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","1  ___  5 ","<, >, =","<",4,"Which symbol makes this statement true?","1  ___  5 ","<, >, =","<"
93,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","45  ___  47","<, >, =","<",4,"Which symbol makes this statement true?","45  ___  47","<, >, =","<"
94,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","7  ___  7","<, >, =","=",4,"Which symbol makes this statement true?","7  ___  7","<, >, =","="
95,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","0  ___  3","<, >, =","<",4,"Which symbol makes this statement true?","0  ___  3","<, >, =","<"
96,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","9  ___  14","<, >, =","<",4,"Which symbol makes this statement true?","9  ___  14","<, >, =","<"
97,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","64  ___  18","<, >, =",">",4,"Which symbol makes this statement true?","64  ___  18","<, >, =",">"
98,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","29  ___  29","<, >, =","=",4,"Which symbol makes this statement true?","29  ___  29","<, >, =","="
99,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","6  ___  2","<, >, =",">",4,"Which symbol makes this statement true?","6  ___  2","<, >, =",">"
100,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","8  ___  7","<, >, =",">",4,"Which symbol makes this statement true?","8  ___  7","<, >, =",">"
101,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","129  ___  128","<, >, =",">",4,"Which symbol makes this statement true?","129  ___  128","<, >, =",">"
102,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","832  ___  211","<, >, =",">",4,"Which symbol makes this statement true?","832  ___  211","<, >, =",">"
103,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","393  ___  363","<, >, =",">",4,"Which symbol makes this statement true?","393  ___  363","<, >, =",">"
104,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","8  ___  6","<, >, =",">",4,"Which symbol makes this statement true?","8  ___  6","<, >, =",">"
105,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","92  ___  90","<, >, =",">",4,"Which symbol makes this statement true?","92  ___  90","<, >, =",">"
106,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","42  ___  49","<, >, =","<",4,"Which symbol makes this statement true?","42  ___  49","<, >, =","<"
107,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","634  ___  634","<, >, =","=",4,"Which symbol makes this statement true?","634  ___  634","<, >, =","="
108,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","291  ___  82","<, >, =",">",4,"Which symbol makes this statement true?","291  ___  82","<, >, =",">"
109,"និមិត្តសញ្ញាដែល​​ធ្វើឱ្យសេចក្តីថ្លែងការណ៍នេះជាការពិត?","3  ___  394","<, >, =","<",4,"Which symbol makes this statement true?","3  ___  394","<, >, =","<"
